Store,id,res_id,City,StreetNa_1,ADDRESS,House_Num1,House_Num2,House_Num3,House_Num4,House_Num5,House_Num6,Build_type,adres_full,Cell,Y,X,car,pedestrian,Status,Type,Year_buld,floors,flats,Matwalls,people,Key_Accou,Bus
KFC Belorusskaya Moscow,5003001948,0,Москва,Бутырский Вал,26 стр 1,26, , ,стр,1,стр 1,Нежил,"Москва, Бутырский Вал, 26 стр 1",C1,"37,587076","55,782067",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001949,0,Москва,4-й Лесной переулок,13,13, , , , , ,Нежил,"Москва, 4-й Лесной переулок, 13",C1,"37,587262","55,780317",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001950,0,Москва,Лесная,9,9, , , , , ,БЦ,"Москва, Лесная, 9",C1,"37,588284","55,778924",5,10,active, ,0,0,0, ,9777, ,15
KFC Belorusskaya Moscow,5003001951,0,Москва,4-й Лесной переулок,6,6, , , , , ,Нежил,"Москва, 4-й Лесной переулок, 6",C1,"37,588206","55,779801",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001952,0,Москва,2-й Лесной переулок,8 стр 2,8, , ,стр,2,стр 2,Нежил,"Москва, 2-й Лесной переулок, 8 стр 2",C1,"37,587777","55,781657",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001953,0,Москва,Приютский переулок,3 стр 3,3, , ,стр,3,стр 3,Нежил,"Москва, Приютский переулок, 3 стр 3",C1,"37,587848","55,782035",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001954,0,Москва,Бутырский Вал,48 стр 2,48, , ,стр,2,стр 2,Нежил,"Москва, Бутырский Вал, 48 стр 2",C1,"37,588396","55,785597",5,0,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001955,0,Москва,Новолесная,11 стр 3,11, , ,стр,3,стр 3,Нежил,"Москва, Новолесная, 11 стр 3",C1,"37,588495","55,782905",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001956,0,Москва,Бутырский Вал,68/70 стр 5,68/70, , ,стр,5,стр 5,Нежил,"Москва, Бутырский Вал, 68/70 стр 5",C1,"37,588882","55,788133",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001957,0,Москва,Бутырский Вал,68/70 стр 2,68/70, , ,стр,2,стр 2,Нежил,"Москва, Бутырский Вал, 68/70 стр 2",C1,"37,588746","55,789051",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001958,0,Москва,Лесная,15,15, , , , , ,Нежил,"Москва, Лесная, 15",C1,"37,589198","55,779522",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001959,0,Москва,Бутырский Вал,68/70 стр 1,68/70, , ,стр,1,стр 1,БЦ,"Москва, Бутырский Вал, 68/70 стр 1",C1,"37,589179","55,788682",5,0,active, ,0,0,0, ,1778, ,0
KFC Belorusskaya Moscow,5003001960,0,Москва,Лесная,45А стр 2,45А, , ,стр,2,стр 2,Нежил,"Москва, Лесная, 45А стр 2",C1,"37,589177","55,781366",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001961,0,Москва,Новолесная,13,13, , , , , ,Нежил,"Москва, Новолесная, 13",C1,"37,58937","55,783287",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001962,0,Москва,Лесная,45А стр 3,45А, , ,стр,3,стр 3,Нежил,"Москва, Лесная, 45А стр 3",C1,"37,589452","55,781557",5,10,active, ,0,0,0, ,0, ,15
